,test_acc,test_f1_score,tn,fp,fn,tp,model,fold,submodel
10,0.863095223903656,0.8452852802468728,44,3,20,101,resnet,0,101
11,0.8452380895614624,0.8274063486623069,44,6,20,98,resnet,0,152
12,0.9226190447807312,0.9198914228455006,62,11,2,93,resnet,0,18
13,0.898809552192688,0.8957017076554085,61,14,3,90,resnet,0,34
14,0.9047619104385376,0.9024248533564616,63,15,1,89,resnet,0,50
29,0.8809523582458496,0.8758681787324347,57,13,7,91,resnet,1,101
30,0.863095223903656,0.850365947742356,48,7,16,97,resnet,1,152
31,0.9047619104385376,0.8990384564257236,56,8,8,96,resnet,1,18
32,0.8571428656578064,0.8536372825770167,59,19,5,85,resnet,1,34
33,0.8809523582458496,0.8784722171639903,62,18,2,86,resnet,1,50
48,0.9107142686843872,0.9071310065064953,60,11,4,93,resnet,2,101
49,0.9047619104385376,0.8990384564257236,56,8,8,96,resnet,2,152
50,0.875,0.8711609341859169,59,16,5,88,resnet,2,18
51,0.875,0.8643859260942892,50,7,14,97,resnet,2,34
52,0.9226190447807312,0.9182114318024264,58,7,6,97,resnet,2,50
67,0.875,0.865338366589345,51,8,13,96,resnet,3,101
68,0.8452380895614624,0.8314814763900207,47,9,17,95,resnet,3,152
69,0.9166666865348816,0.9116586487317327,57,7,7,97,resnet,3,18
70,0.9047619104385376,0.900694541962565,59,11,5,93,resnet,3,34
71,0.9107142686843872,0.9038131175287492,54,5,10,99,resnet,3,50
86,0.8690476417541504,0.860317455210179,52,10,12,94,resnet,4,101
87,0.875,0.865338366589345,51,8,13,96,resnet,4,152
88,0.9107142686843872,0.9075670271459378,61,12,3,92,resnet,4,18
89,0.8452380895614624,0.8314814763900207,47,9,17,95,resnet,4,34
90,0.8928571343421936,0.8888235243151178,59,13,5,91,resnet,4,50
