,test_acc,test_f1_score,tn,fp,fn,tp,auc_roc,auc_pr,model,fold,submodel
0,0.8658743500709534,0.8658356854287981,250,35,44,260,0.9312982820246742,0.9195081227819156,alexnet,0,
23,0.8641765713691711,0.8636952648198774,237,23,57,272,0.9436181252161882,0.9362229383701132,alexnet,1,
46,0.8692699670791626,0.8688328728079091,239,22,55,273,0.9391502363657328,0.9360038264601632,alexnet,2,
69,0.8471986651420593,0.8471453236930271,244,39,51,255,0.9304162342903264,0.923126850067134,alexnet,3,
92,0.8862478733062744,0.8861165651119793,251,23,44,271,0.9559091433183442,0.9539014988948402,alexnet,4,
