,test_acc,test_f1_score,tn,fp,fn,tp,auc_roc,auc_pr,model,fold,submodel
9,0.6943972706794739,0.6940789423495237,195,81,99,214,0.7548368499942351,0.7229442935091113,googlenet,0,
32,0.7079796195030212,0.7079114238783353,213,91,81,204,0.7920154502478958,0.793826346506092,googlenet,1,
55,0.7368420958518982,0.7344415791526475,245,106,49,189,0.8155309581459704,0.7930808750704806,googlenet,2,
78,0.7215619683265686,0.7204588550212339,231,100,64,194,0.7845151619970022,0.770679665248462,googlenet,3,
101,0.7334465384483337,0.7333358275154447,210,72,85,222,0.8153695376455667,0.810177282414103,googlenet,4,
