,test_acc,test_f1_score,tn,fp,fn,tp,auc_roc,auc_pr,model,fold,submodel
10,0.6893039345741272,0.689300317532263,204,93,90,202,0.7584572812175716,0.7558835687990468,resnet,0,101
11,0.7334465384483337,0.7333973316308489,220,83,74,212,0.8208693646950306,0.8293114585487645,resnet,0,152
12,0.7249575257301331,0.7249567573413468,213,81,81,214,0.8003459010722934,0.7865130038120434,resnet,0,18
13,0.7198641896247864,0.7191355387842329,197,68,97,227,0.8013951343249165,0.8040354793907403,resnet,0,34
14,0.7385398745536804,0.7380680061658909,230,90,64,205,0.8084745762711865,0.8076056852219275,resnet,0,50
33,0.7317487001419067,0.7317479483938661,216,80,78,215,0.7991756024443676,0.800929348907046,resnet,1,101
34,0.755517840385437,0.7553139879157924,214,64,80,231,0.8303643491294824,0.8292911273764885,resnet,1,152
35,0.7181664109230042,0.7179314035057591,220,92,74,203,0.8166551366309236,0.8028437557384701,resnet,1,18
36,0.7572156190872192,0.7570363268829732,215,64,79,231,0.8346765824974057,0.8100813133136893,resnet,1,34
37,0.7487266659736633,0.7481975269897245,207,61,87,234,0.8374783811829818,0.8368923960522565,resnet,1,50
56,0.7521222233772278,0.7519155711521371,230,82,64,213,0.8098005303816442,0.8249780748691943,resnet,2,101
57,0.774193525314331,0.7740658973483423,221,60,73,235,0.84369883546639,0.84201067154306,resnet,2,152
58,0.7589133977890015,0.7579582762380184,242,90,52,205,0.8450709097198201,0.8396638925787873,resnet,2,18
59,0.7402377128601074,0.7383521860786617,193,52,101,243,0.8254237288135593,0.8168238225540323,resnet,2,34
60,0.774193525314331,0.7738180088114963,216,55,78,240,0.8613167300818632,0.8530681112510194,resnet,2,50
79,0.7504244446754456,0.7497752976434965,206,58,89,236,0.8053038164418309,0.808639058319887,resnet,3,101
80,0.7249575257301331,0.7239829164049596,196,63,99,231,0.8104808024904878,0.7949007510921013,resnet,3,152
81,0.7317487001419067,0.7315746309711845,208,71,87,223,0.8139974633921365,0.7970322927499561,resnet,3,18
82,0.7130730152130127,0.7124231106890967,224,98,71,196,0.7958030669895078,0.7953089853185974,resnet,3,34
83,0.7623090147972107,0.762006460000731,214,59,81,235,0.8197970713709213,0.8029424609232831,resnet,3,50
102,0.7249575257301331,0.7199189806309474,174,41,121,253,0.8157557938429609,0.7793742377106819,resnet,4,101
103,0.7691001892089844,0.768539061098807,212,53,83,241,0.8498212844459818,0.8610938823267159,resnet,4,152
104,0.7453310489654541,0.7442096070420292,200,55,95,239,0.833921365156232,0.8364251636662818,resnet,4,18
105,0.7674023509025574,0.7672306066628178,234,76,61,218,0.8432837541796377,0.8466939119269559,resnet,4,34
106,0.784380316734314,0.7843778144518143,232,64,63,230,0.8600945462930936,0.8642484639184342,resnet,4,50
