,model,submodel,mean_acc,std_acc,min_acc,max_acc,q1_acc,median_acc,q3_acc,mean_auc,std_auc,min_auc,max_auc,q1_auc,median_auc,q3_auc,mean_pr,std_pr,min_pr,max_pr,q1_pr,median_pr,q3_pr,mean_f1,std_f1,min_f1,max_f1,q1_f1,median_f1,q3_f1,n_folds,mean_tn,mean_fp,mean_fn,mean_tp,robust_acc,robust_f1
0,vit,b_16,0.9511904835700988,0.015407354871846222,0.9345238208770752,0.9702380895614624,0.9404761791229248,0.9464285969734192,0.9642857313156128,,,,,,,,,,,,,,,0.9481647188658892,0.01636003154646387,0.9303771187951062,0.9681516536466476,0.9368990333437516,0.943035823536655,0.9623599650072854,5,59.6,3.8,4.4,100.2,0.9357831286982526,0.9318046873194252
1,vit,b_32,0.9464285731315613,0.005952388048186919,0.9404761791229248,0.9523809552192688,0.9404761791229248,0.9464285969734192,0.9523809552192688,,,,,,,,,,,,,,,0.9427921429712777,0.00653215421373842,0.9360925085788666,0.9498132883845936,0.9365079313903756,0.942672980664324,0.9488740058382286,5,58.4,3.4,5.6,100.6,0.9404761850833744,0.9362599887575392
2,vgg,11,0.9476190447807312,0.01290445603455515,0.9345238208770752,0.9642857313156128,0.9404761791229248,0.9404761791229248,0.9583333134651184,,,,,,,,,,,,,,,0.944190315122893,0.01400705703713697,0.9299336441731624,0.9621394179557704,0.9356519023495328,0.9372666117619016,0.9559599993740974,5,59.0,3.8,5.0,100.2,0.9347145887461761,0.930183258085756
3,vgg,13,0.9321428656578064,0.029939934920115204,0.898809552192688,0.9642857313156128,0.9047619104385376,0.9345238208770752,0.9583333134651184,,,,,,,,,,,,,,,0.9270730363711361,0.03296357395864672,0.8866621640724526,0.9619047567837744,0.9016249400122244,0.928964054088371,0.9562092668988592,5,57.2,4.6,6.8,99.4,0.9022029307376912,0.8941094624124895
4,vgg,16,0.9333333373069763,0.03188833608336325,0.8809523582458496,0.9642857313156128,0.9345238208770752,0.9345238208770752,0.9523809552192688,,,,,,,,,,,,,,,0.930735074866659,0.03172742656438383,0.8788752653219356,0.9619047567837744,0.9311859937686472,0.931896070074344,0.9498132883845936,5,61.2,8.4,2.8,95.6,0.901445001223613,0.8990076483022751
5,vgg,19,0.9261904835700989,0.024757892431824483,0.898809552192688,0.9523809552192688,0.9107142686843872,0.9166666865348816,0.9523809552192688,,,,,,,,,,,,,,,0.9210739094816501,0.02679935380010088,0.890217177291922,0.9492063440870748,0.9056285759452029,0.9111111059969766,0.9492063440870748,5,56.6,5.0,7.4,99.0,0.9014325911382745,0.8942745556815492
6,efficientnet,B0,0.8654761910438538,0.014335227693297153,0.8452380895614624,0.8809523582458496,0.8571428656578064,0.8690476417541504,0.875,,,,,,,,,,,,,,,0.8556656338208395,0.017778368211482737,0.8301974758683821,0.8758681787324347,0.8466220277633325,0.8594035250226946,0.8662369617173535,5,51.2,9.8,12.8,94.2,0.8511409633505566,0.8378872656093568
7,efficientnet,B1,0.8523809432983398,0.03774016618275342,0.8154761791229248,0.9047619104385376,0.8154761791229248,0.863095223903656,0.863095223903656,,,,,,,,,,,,,,,0.8458937522900551,0.04054444872045517,0.8049657290874135,0.9016249400122244,0.8071039617192344,0.8568835831802322,0.8588905474511712,5,54.8,15.6,9.2,88.4,0.8146407771155864,0.8053493035696
8,efficientnet,B2,0.8333333373069763,0.029462793587900514,0.7857142686843872,0.8571428656578064,0.8273809552192688,0.8392857313156128,0.8571428656578064,,,,,,,,,,,,,,,0.8246693028732814,0.030756415123847105,0.7754010644265081,0.8510418155023045,0.8164487761211657,0.8328358158029486,0.8476190425134795,5,51.4,15.4,12.6,88.6,0.8038705437190758,0.7939128877494344
9,efficientnet,B3,0.8595238089561462,0.025113118780487793,0.8214285969734192,0.886904776096344,0.851190447807312,0.863095223903656,0.875,,,,,,,,,,,,,,,0.8553747510106694,0.02589672046156159,0.818312900513247,0.8843436305742297,0.8427142966590845,0.8588905474511712,0.8726123798556147,5,58.4,18.0,5.6,86.0,0.8344106901756584,0.8294780305491078
10,efficientnet,B4,0.8452381014823913,0.027919149294225787,0.7976190447807312,0.8690476417541504,0.8452380895614624,0.8571428656578064,0.8571428656578064,,,,,,,,,,,,,,,0.8350251328309213,0.02777097827621289,0.7878787827849509,0.8594035250226946,0.8368931987803674,0.8406827829894281,0.8502673745771652,5,50.2,12.2,13.8,91.8,0.8173189521881655,0.8072541545547084
11,efficientnet,B5,0.7452380895614624,0.02608203383510525,0.7083333134651184,0.7797619104385376,0.738095223903656,0.7440476417541504,0.7559523582458496,,,,,,,,,,,,,,,0.7448817143974655,0.025733402323631294,0.7080747496992692,0.7784352115773598,0.7380581100369508,0.7439659706990933,0.755874529974655,5,61.4,40.2,2.6,63.8,0.7191560557263572,0.7191483120738342
12,efficientnet,B6,0.8011904835700989,0.03330144657104528,0.7559523582458496,0.8392857313156128,0.7797619104385376,0.8095238208770752,0.8214285969734192,,,,,,,,,,,,,,,0.7997208949084804,0.03208829209235034,0.755874529974655,0.8362159184049769,0.7793788770886074,0.8077803153741576,0.8193548337000052,5,60.6,30.0,3.4,74.0,0.7678890369990536,0.7676326028161301
13,efficientnet,B7,0.8404761910438537,0.03455458102698047,0.8095238208770752,0.8928571343421936,0.8154761791229248,0.8273809552192688,0.8571428656578064,,,,,,,,,,,,,,,0.8369433871181797,0.03496897897279233,0.8055555505063658,0.8897959132865056,0.8105837374325401,0.825144451788471,0.8536372825770167,5,58.2,21.0,5.8,83.0,0.8059216100168732,0.8019744081453875
14,alexnet,nan,0.936904776096344,0.019103345314983665,0.9047619104385376,0.9523809552192688,0.9345238208770752,0.9464285969734192,0.9464285969734192,0.9834585336538462,0.008094248651529069,0.9729567307692308,0.9918118990384616,0.9797175480769232,0.9813701923076924,0.9914362980769232,0.9866734683304109,0.00966412135951501,0.9724656747420832,0.9950731146663868,0.9815387240366508,0.9894130216522116,0.9948768065547222,0.9337238635019147,0.019320338293711832,0.9011764654900072,0.9495192256497608,0.931553015371729,0.942672980664324,0.9436976303337532,5,60.0,6.6,4.0,97.4,0.9178014307813603,0.9144035252082029
