,model,submodel,mean_acc,std_acc,min_acc,max_acc,q1_acc,median_acc,q3_acc,mean_auc,std_auc,min_auc,max_auc,q1_auc,median_auc,q3_auc,mean_pr,std_pr,min_pr,max_pr,q1_pr,median_pr,q3_pr,mean_f1,std_f1,min_f1,max_f1,q1_f1,median_f1,q3_f1,n_folds,mean_tn,mean_fp,mean_fn,mean_tp,robust_acc,robust_f1
0,vit,b_16,0.7752122282981873,0.010369055436782168,0.7572156190872192,0.7826825380325317,0.7758913636207581,0.7792869210243225,0.7809846997261047,0.853173065836504,0.016213173474208944,0.8259425804219993,0.8650755217341174,0.8515680848610631,0.8582958607171682,0.8649832814481725,0.8429598994896151,0.020415650147003517,0.8151721948323422,0.8723301405638898,0.8394087113647201,0.8409543456681697,0.846934105018954,0.7746880131011176,0.009980630639576554,0.75720441693432,0.7809085364183828,0.7757044885046017,0.7792862857610978,0.7803363378871853,5,217.6,55.6,76.8,239.0,0.7648431728614051,0.764707382461541
1,vit,b_32,0.7551782608032227,0.01728917781427844,0.7249575257301331,0.7674023509025574,0.7572156190872192,0.7623090147972107,0.7640067934989929,0.8342199930819785,0.018343578636934428,0.8065605903378301,0.8512740689496137,0.8262884814942928,0.8382278335062838,0.8487489911218724,0.8128640703223662,0.03513154160893619,0.7672439716560772,0.8493237268611182,0.7856352729687432,0.823219521557846,0.8388978585680458,0.755069033265785,0.01721087273376586,0.7249567573414044,0.7671849388754889,0.7572156146686998,0.7622534836153311,0.7637343718280007,5,219.6,69.4,74.8,225.2,0.7378890829889443,0.7378581605320191
2,vgg,11,0.8539898157119751,0.028180294118159855,0.8149405717849731,0.8913412690162659,0.8471986651420593,0.8488964438438416,0.8675721287727356,0.9218378876974518,0.01349635379733572,0.9093047388446904,0.942972443214574,0.9108151735270378,0.922587340020754,0.9235097428802028,0.9075029993041325,0.014261430021637756,0.8940005532917165,0.9293205301653932,0.8965196648776869,0.9048976170920076,0.9127766310938584,0.8533051079756071,0.028989393689292816,0.8125873872091214,0.8912280651509316,0.8471241644092686,0.8481241819598737,0.8674617411488401,5,235.8,27.4,58.6,267.2,0.8258095215938153,0.8243157142863143
3,vgg,13,0.830560278892517,0.009407047203035743,0.8183361887931824,0.8421052694320679,0.825127363204956,0.8302206993103027,0.8370118737220764,0.9051124178484953,0.008931397445363042,0.8948460740228296,0.9179637956877666,0.8989046466044044,0.9056151274068948,0.9082324455205812,0.8930024136137643,0.014697294191780924,0.8773881511908118,0.9135065775300744,0.8821534107048867,0.8903092406211216,0.9016546880219276,0.829712805548518,0.010328990907285023,0.8150934268197254,0.8418846666509425,0.8250950629694684,0.8301967246016992,0.8362941467007543,5,229.2,34.6,65.2,260.0,0.8211532316894813,0.819383814641233
4,vgg,16,0.8135823369026184,0.011787141336873938,0.7945670485496521,0.8268251419067383,0.8132427930831909,0.8166383504867554,0.8166383504867554,0.8928640608785887,0.009513457225778062,0.8809985010953534,0.9031534647757408,0.8849302432837542,0.895722356739306,0.8995157384987893,0.8725526615166623,0.016228650182434304,0.8475578661339072,0.8906688588723454,0.8683289553414313,0.8748580724879238,0.8813495547477039,0.812851651968954,0.012185658972859854,0.7933063565693479,0.8268246231283294,0.8129575690572939,0.8146503446760407,0.8165193664137589,5,229.8,45.2,64.6,249.4,0.8017951955657444,0.8006659929960942
5,vgg,19,0.8044142603874207,0.011664230305282535,0.7928692698478699,0.8200339674949646,0.7962648272514343,0.7996604442596436,0.8132427930831909,0.8741600368961144,0.007917832198601205,0.8604980975441024,0.8804450593796841,0.8747838118298168,0.8766920327453016,0.8783811829816672,0.8540362287256013,0.011546640395370879,0.8439840821149187,0.8733938659275384,0.8468554703972284,0.8516109036089736,0.854336821579347,0.8038344183368675,0.011264439041330922,0.7922939017961572,0.8186744838594804,0.796217270951278,0.7994054440665871,0.8125809910108348,5,222.2,43.0,72.2,251.6,0.7927500300821382,0.7925699792955366
6,efficientnet,B0,0.7011884570121765,0.009899742604035101,0.6910017132759094,0.7147707939147949,0.6943972706794739,0.6977928876876831,0.7079796195030212,0.772831776778508,0.02060673909781496,0.7482647296206618,0.7990891271762942,0.7588493024328375,0.7707771244090857,0.7871786002536608,0.7478019207616343,0.038511499018578095,0.70397498619663,0.8003063183733136,0.724712166853591,0.7374291517600939,0.772586980624543,0.7005904647002146,0.009913466570282733,0.6901433641652366,0.7147502371237504,0.6943963976053269,0.697247436481233,0.7064148881255257,5,196.2,77.8,98.2,216.8,0.6912887144081413,0.6906769981299319
7,efficientnet,B1,0.7178268194198608,0.02260043391756799,0.6808149218559265,0.7402377128601074,0.7147707939147949,0.7249575257301331,0.7283531427383423,0.7974184249971175,0.02073295780331846,0.761293670010377,0.8144240747146316,0.802461662631154,0.8038510319381991,0.8050616856912256,0.7844253319842335,0.01844794710469024,0.7549367566577695,0.7994690892157608,0.7780139989446189,0.7930065735490013,0.7967002415540174,0.7152032841035274,0.02387471076876629,0.6758354947155263,0.7369345913919841,0.7110316743272658,0.7249377284749912,0.7272769316078697,5,186.6,58.4,107.8,236.2,0.6952263855022929,0.6913285733347612
8,efficientnet,B2,0.6964346408843994,0.014624689367554832,0.6791171431541443,0.7113752365112305,0.6825127601623535,0.7028862237930298,0.706281840801239,0.7653949037242016,0.01837522266043314,0.7380606479880087,0.786567508359276,0.7606422229908912,0.7648103309120259,0.776893808370806,0.7397604118771912,0.028001114968211525,0.703182448642753,0.7804309914787797,0.7333806178858127,0.7338015730681284,0.748006428310483,0.6932030604486978,0.016832897843482044,0.6738484723389557,0.7107674303987697,0.6767879957439562,0.6995572372869738,0.7050541664748338,5,177.8,62.2,116.6,232.4,0.6818099515168446,0.6763701626052158
9,efficientnet,B3,0.703904926776886,0.013018861248440974,0.6825127601623535,0.7164685726165771,0.7028862237930298,0.706281840801239,0.7113752365112305,0.7716026749682925,0.02093804348026229,0.7349936584803413,0.7879741727199354,0.7762884814942926,0.7782658826242361,0.7804911795226566,0.7596498688925286,0.026267146685703718,0.7185878457066219,0.7883640741891231,0.7556864308509511,0.7607160938518214,0.7748948998641254,0.7034164023100735,0.012944523382692606,0.6825090677522869,0.7159970499443662,0.701062914627071,0.7062784419822035,0.71123453724444,5,199.0,79.0,95.4,215.6,0.690886065528445,0.6904718789273809
